ISIN,Name,Sector,Country
BRELETACNOR6,Centrais Eletricas Brasileiras SA,59101010,BR
BRELPLACNOR9,Eletropaulo Metropolitana Eletricidade de Sao Paul,59101010,BR
BREMBRACNOR4,Embraer SA,52101010,BR
BRENBRACNOR2,EDP Energias do Brasil SA,59101010,BR
BRENGIACNOR0,Energisa SA,59101010,BR
BREQTLACNOR0,Equatorial Energia SA,59101010,BR
BRESTCACNOR5,nan,,
BRFFTLACNPR7,Vale Fertilizantes SA,51101020,BR
BRFIBRACNOR9,nan,,
BRGFSAACNOR3,Gafisa SA,53203010,BR
BRGGBRACNOR1,Gerdau SA,51201020,BR
BRGGBRACNOR1,Gerdau SA,51201020,BR
BRGNDIACNOR2,Notre Dame Intermedica Participacoes SA,56102010,BR
BRGOAUACNOR1,Metalurgica Gerdau SA,51201020,BR
BRGOLLACNPR4,Gol Linhas Aereas Inteligentes SA,52406010,BR
BRGVTTACNOR8,GVT Holding SA,58401010,BR
BRHAPVACNOR4,Hapvida Participacoes e Investimentos SA,56102010,BR
BRHGTXACNOR9,Cia Hering,53202020,BR
BRHYPEACNOR0,Hypera SA,56201040,BR
BRIRBRACNOR4,IRB Brasil Resseguros SA,55301050,BR
BRIRONACNOR6,Anglo Ferrous Brazil Participacoes SA,51201020,BR
BRITSAACNOR0,Itausa SA,55101010,BR
BRITUBACNOR4,Itau Unibanco Holding SA,55101010,BR
BRJBSSACNOR8,JBS SA,54102020,BR
BRKLBNACNOR2,Klabin SA,51301020,BR
BRKLBNCDAM18,Klabin SA,51301020,BR
BRKROTACNOR9,nan,,
BRLAMEACNOR9,Lojas Americanas SA,53402010,BR
BRLAMEACNOR9,Lojas Americanas SA,53402010,BR
BRLIGTACNOR2,Light SA,59101010,BR
BRLRENACNOR1,Lojas Renner SA,53403040,BR
BRMDIAACNOR7,M Dias Branco SA Industria e Comercio de Alimentos,54102020,BR
BRMGLUACNOR2,Magazine Luiza SA,53402010,BR
BRMMXMACNOR2,MMX Mineracao e Metalicos SA Em Recuperacao Judici,51201020,BR
BRMPLUACNOR3,Multiplus SA,52203040,BR
BRMRFGACNOR0,Marfrig Global Foods SA,54102020,BR
BRMRVEACNOR2,MRV Engenharia e Participacoes SA,60101010,BR
BRMULTACNOR5,Multiplan Empreendimentos Imobiliarios SA,60101010,BR
BRNATUACNOR6,Natura & Co Holding SA,54201020,BR
BRNETCACNPR3,Net Servicos de Comunicacao SA,53302020,BR
BRNTCOACNOR5,Natura & Co Holding SA,54201020,BR
BRODPVACNOR4,Odontoprev SA,56102010,BR
BROGXPACNOR3,nan,,
BROIBRACNOR1,Oi SA em Recuperacao Judicial,58401010,BR
BROIBRACNPR8,Oi SA em Recuperacao Judicial,58401010,BR
BRPCARACNOR3,Companhia Brasileira de Distribuicao,54301020,BR
BRPCARACNOR3,Companhia Brasileira de Distribuicao,54301020,BR
BRPDGRACNOR8,PDG Realty SA Empreendimentos e Participacoes,60101010,BR
BRPETRACNOR9,Petroleo Brasileiro SA Petrobras,50102010,BR
BRPETRACNOR9,Petroleo Brasileiro SA Petrobras,50102010,BR
